video_id,vote1,vote2,vote3,label
k75,3,3,3,3
T7,0,0,0,0
c12,3,1,3,3
c3,1,1,3,1
k65,1,3,3,3
k151,2,2,2,2
c8,0,0,0,0
k30,0,0,0,0
k37,0,0,0,0
c29,2,2,2,2
c53,1,1,1,1
k95,3,3,3,3
k97,3,2,3,3
k126,1,1,1,1
c28,3,1,1,1
k83,3,3,3,3
k74,2,2,3,2
k101,0,0,0,0
c47,1,1,1,1
c48,1,1,1,1
k129,2,2,2,2
k70,2,2,2,2
k2,3,3,3,3
k9,3,3,3,3
K89,2,2,2,2
k138,1,1,1,1
c15,3,2,2,2
k11,2,2,3,2
k158,2,2,2,2
k66,3,3,3,3
k144,3,3,2,3
c14,3,3,3,3
k140,3,3,3,3
k139,0,0,0,0
k125,1,1,1,1
c60,1,1,1,1
c38,3,3,3,3
k147,3,3,3,3
c50,1,1,3,1
c43,0,0,0,0
k34,0,0,0,0
k132,1,1,1,1
k123,1,1,1,1
T22,0,0,0,0
k86,1,1,3,1
k54,3,3,3,3
k32,0,0,0,0
T9,0,2,2,2
k51,2,2,3,2
K90,0,0,0,0
c31,0,0,0,0
k93,1,1,1,1
k7,1,3,3,3
k21,2,2,2,2
k141,1,1,1,1
k108,0,0,0,0
k73,2,2,2,2
T12,0,0,0,0
c17,1,1,1,1
k33,0,0,0,0
k16,0,0,0,0
k46,1,1,1,1
k59,3,3,3,3
c11,3,3,3,3
k40,1,1,1,1
c35,2,3,2,2
T18,3,3,2,3
k118,1,1,1,1
T16,0,0,0,0
c55,0,0,0,0
c19,2,2,2,2
c27,1,1,3,1
c33,2,2,2,2
k157,2,2,2,2
k1,3,3,0,3
k113,1,1,1,1
T13,0,0,0,0
k115,1,1,1,1
k15,2,2,3,2
k72,2,2,2,2
k39,0,0,0,0
k155,2,2,2,2
k109,1,1,1,1
k85,2,2,3,2
k49,2,2,3,2
c10,1,1,1,1
T20,0,0,0,0
c57,0,0,0,0
k41,1,3,1,1
c24,2,2,3,2
k153,3,3,3,3
k61,3,3,3,3
k156,0,0,0,0
k8,3,3,1,3
c37,2,2,2,2
k17,0,0,0,0
k12,3,3,3,3
T3,0,0,0,0
k56,2,2,2,2
k29,0,0,0,0
T2,0,0,0,0
k122,1,1,1,1
k111,1,1,1,1
k60,3,3,3,3
k98,3,2,3,3
k43,1,1,1,1
k80,3,2,3,3
k48,2,2,2,2
c41,0,0,0,0
T24,2,2,3,2
k112,1,1,1,1
k6,1,1,3,1
c56,0,0,0,0
k92,2,2,2,2
T17,2,0,2,2
T19,0,0,0,0
k99,0,0,0,0
T8,3,2,3,3
k13,0,0,0,0
k42,3,1,1,1
k116,1,1,1,1
c22,2,2,2,2
k145,3,3,3,3
k110,1,1,1,1
c2,2,2,2,2
k55,0,0,1,0
k119,1,1,1,1
c51,2,2,2,2
k82,1,1,1,1
c61,3,3,3,3
k53,3,2,3,3
T5,0,0,0,0
k88,3,3,3,3
c36,3,3,3,3
k136,3,3,3,3
k71,2,2,2,2
c62,1,1,1,1
k50,3,3,3,3
T15,0,3,0,0
k137,2,2,3,2
T25,0,0,0,0
c39,3,3,3,3
c7,0,0,0,0
c30,3,3,3,3
k117,1,1,1,1
k57,3,2,2,2
c25,2,2,2,2
c4,2,2,2,2
k69,3,3,2,3
k146,2,2,2,2
k143,3,3,3,3
k106,0,0,0,0
k68,1,1,1,1
k154,2,2,2,2
c20,3,2,2,2
k94,3,3,3,3
c13,1,1,1,1
k62,2,2,2,2
k128,1,1,1,1
k107,0,0,0,0
k4,3,3,3,3
k160,2,2,2,2
k120,1,1,1,1
k22,2,2,2,2
k36,0,0,0,0
k134,3,3,3,3
T10,0,0,0,0
c45,0,0,0,0
k96,3,2,3,3
k124,1,1,1,1
T21,0,0,0,0
k152,2,2,2,2
c44,2,2,2,2
k10,3,3,3,3
c59,1,1,1,1
k52,2,2,2,2
k102,0,0,0,0
k104,0,0,0,0
k5,1,1,1,1
c18,3,3,3,3
k77,2,2,2,2
c52,1,1,1,1
c5,1,1,1,1
c21,1,1,1,1
k67,3,3,3,3
k130,0,0,0,0
k78,3,3,3,3
T4,0,0,0,0
T23,2,3,3,3
k3,0,0,0,0
k45,1,1,1,1
k23,2,3,3,3
k18,0,0,0,0
k19,2,2,2,2
k87,2,2,2,2
k76,3,3,3,3
k20,1,1,1,1
T1,0,0,0,0
k159,2,2,2,2
k142,1,1,1,1
