video_id,vote1,vote2,vote3,label
T25,0,0,0,0
k15,2,2,3,2
k121,1,1,1,1
k18,0,0,0,0
c38,3,3,3,3
K89,2,2,2,2
k10,3,3,3,3
c8,0,0,0,0
k139,0,0,0,0
k1,3,3,0,3
c53,1,1,1,1
K90,0,0,0,0
c59,1,1,1,1
k50,3,3,3,3
c61,3,3,3,3
c24,2,2,3,2
c22,2,2,2,2
k81,3,3,3,3
k24,3,2,2,2
k12,3,3,3,3
k82,1,1,1,1
k116,1,1,1,1
k66,3,3,3,3
c52,1,1,1,1
k157,2,2,2,2
k118,1,1,1,1
k68,1,1,1,1
c10,1,1,1,1
k159,2,2,2,2
k151,2,2,2,2
c60,1,1,1,1
k5,1,1,1,1
k130,0,0,0,0
k17,0,0,0,0
T11,0,0,0,0
k150,3,3,3,3
c48,1,1,1,1
k77,2,2,2,2
k38,0,0,0,0
k132,1,1,1,1
k126,1,1,1,1
k16,0,0,0,0
k78,3,3,3,3
c4,2,2,2,2
k35,0,0,0,0
k108,0,0,0,0
c9,0,0,0,0
k133,3,3,3,3
c14,3,3,3,3
k93,1,1,1,1
k8,3,3,1,3
k58,2,2,2,2
T20,0,0,0,0
k155,2,2,2,2
T15,0,3,0,0
k43,1,1,1,1
k60,3,3,3,3
k127,1,1,1,1
c20,3,2,2,2
c50,1,1,3,1
k96,3,2,3,3
c35,2,3,2,2
T3,0,0,0,0
k4,3,3,3,3
k63,3,3,3,3
k76,3,3,3,3
k71,2,2,2,2
k101,0,0,0,0
k79,2,2,2,2
c3,1,1,3,1
c33,2,2,2,2
k117,1,1,1,1
T4,0,0,0,0
k55,0,0,1,0
c21,1,1,1,1
c26,3,3,3,3
k45,1,1,1,1
k34,0,0,0,0
c13,1,1,1,1
c18,3,3,3,3
T22,0,0,0,0
k153,3,3,3,3
T23,2,3,3,3
c55,0,0,0,0
c37,2,2,2,2
k46,1,1,1,1
k2,3,3,3,3
k136,3,3,3,3
k135,3,3,3,3
k97,3,2,3,3
k13,0,0,0,0
k113,1,1,1,1
k107,0,0,0,0
k131,2,2,3,2
k11,2,2,3,2
c47,1,1,1,1
T19,0,0,0,0
k98,3,2,3,3
k31,0,0,0,0
k26,1,1,1,1
k125,1,1,1,1
T6,3,3,2,3
k74,2,2,3,2
k41,1,3,1,1
k40,1,1,1,1
k110,1,1,1,1
k6,1,1,3,1
k61,3,3,3,3
k104,0,0,0,0
c56,0,0,0,0
k73,2,2,2,2
k137,2,2,3,2
k109,1,1,1,1
k48,2,2,2,2
k99,0,0,0,0
k36,0,0,0,0
c30,3,3,3,3
K91,2,2,2,2
c12,3,1,3,3
k62,2,2,2,2
T13,0,0,0,0
c51,2,2,2,2
c27,1,1,3,1
k134,3,3,3,3
k115,1,1,1,1
c63,1,1,1,1
c7,0,0,0,0
c28,3,1,1,1
k59,3,3,3,3
k57,3,2,2,2
k152,2,2,2,2
k85,2,2,3,2
k80,3,2,3,3
k129,2,2,2,2
c65,3,3,3,3
T7,0,0,0,0
k19,2,2,2,2
k7,1,3,3,3
k53,3,2,3,3
k21,2,2,2,2
c15,3,2,2,2
k138,1,1,1,1
k20,1,1,1,1
k9,3,3,3,3
c62,1,1,1,1
c58,2,2,2,2
c32,0,0,0,0
k32,0,0,0,0
k105,0,0,0,0
k69,3,3,2,3
c5,1,1,1,1
T16,0,0,0,0
k56,2,2,2,2
k47,2,2,2,2
k111,1,1,1,1
k72,2,2,2,2
k102,0,0,0,0
T10,0,0,0,0
k123,1,1,1,1
c64,2,2,2,2
c46,1,1,1,1
c49,1,1,1,1
k42,3,1,1,1
k103,0,0,0,0
k144,3,3,2,3
k86,1,1,3,1
T12,0,0,0,0
k65,1,3,3,3
c41,0,0,0,0
c2,2,2,2,2
k51,2,2,3,2
k95,3,3,3,3
c17,1,1,1,1
c57,0,0,0,0
k154,2,2,2,2
k112,1,1,1,1
k83,3,3,3,3
k52,2,2,2,2
k142,1,1,1,1
k75,3,3,3,3
c34,3,3,3,3
k92,2,2,2,2
k147,3,3,3,3
k54,3,3,3,3
